gppd_idnr,owner,lei
WRI1005908,TIWAG-Tiroler Wasserkraft AG,529900P1JL15TFXFZ679
WRI1005910,TIWAG-Tiroler Wasserkraft AG,529900P1JL15TFXFZ679
WRI1005207,Verbund,5299006UDSEJCTTEJS30
WRI1005206,Verbund,5299006UDSEJCTTEJS30
WRI1005209,Verbund,5299006UDSEJCTTEJS30
WRI1005210,Verbund,5299006UDSEJCTTEJS30
WRI1005211,Verbund,5299006UDSEJCTTEJS30
WRI1005212,Verbund,5299006UDSEJCTTEJS30
WRI1019132,Wien Energie,529900MUHCX60Q4RYE54
WRI1005215,Verbund,5299006UDSEJCTTEJS30
WRI1005216,Verbund,5299006UDSEJCTTEJS30
WRI1005217,Verbund,5299006UDSEJCTTEJS30
WRI1005218,Verbund,5299006UDSEJCTTEJS30
WRI1005219,Verbund,5299006UDSEJCTTEJS30
WRI1005221,Verbund,5299006UDSEJCTTEJS30
WRI1005222,Verbund,5299006UDSEJCTTEJS30
WRI1005223,Verbund,5299006UDSEJCTTEJS30
WRI1005224,Verbund,5299006UDSEJCTTEJS30
WRI1005225,Verbund,5299006UDSEJCTTEJS30
WRI1005227,Verbund,5299006UDSEJCTTEJS30
WRI1005231,Verbund,5299006UDSEJCTTEJS30
WRI1005232,Verbund,5299006UDSEJCTTEJS30
WRI1005233,Verbund,5299006UDSEJCTTEJS30
WRI1005238,Verbund,5299006UDSEJCTTEJS30
WRI1005239,Verbund,5299006UDSEJCTTEJS30
WRI1005240,Verbund,5299006UDSEJCTTEJS30
WRI1019147,Wien Energie,529900MUHCX60Q4RYE54
WRI1005243,Verbund,5299006UDSEJCTTEJS30
WRI1005244,Verbund,5299006UDSEJCTTEJS30
WRI1005245,Verbund,5299006UDSEJCTTEJS30
WRI1005246,Verbund,5299006UDSEJCTTEJS30
WRI1005247,Verbund,5299006UDSEJCTTEJS30
WRI1005248,Verbund,5299006UDSEJCTTEJS30
WRI1005249,Verbund,5299006UDSEJCTTEJS30
WRI1005253,Verbund,5299006UDSEJCTTEJS30
WRI1019163,Energie AG Oberösterreich,529900N8OA1GVSR5R946
WRI1005254,Verbund,5299006UDSEJCTTEJS30
WRI1005255,Verbund,5299006UDSEJCTTEJS30
WRI1005257,Verbund,5299006UDSEJCTTEJS30
WRI1005267,Verbund,5299006UDSEJCTTEJS30
WRI1005258,Verbund,5299006UDSEJCTTEJS30
WRI1005260,Verbund,5299006UDSEJCTTEJS30
WRI1005261,Verbund,5299006UDSEJCTTEJS30
WRI1005262,Verbund,5299006UDSEJCTTEJS30
WRI1005264,Verbund,5299006UDSEJCTTEJS30
WRI1005265,Verbund,5299006UDSEJCTTEJS30
WRI1005266,Verbund,5299006UDSEJCTTEJS30
WRI1005268,Verbund,5299006UDSEJCTTEJS30
WRI1005270,Verbund,5299006UDSEJCTTEJS30
WRI1005271,Verbund,5299006UDSEJCTTEJS30
WRI1005269,Verbund,5299006UDSEJCTTEJS30
WRI1018682,Verbund,5299006UDSEJCTTEJS30
WRI1023714,Al Dur Power & Water Company,558600XDB9RWKYZFCM34
WRI1023713,Gulf Investment Corporation  Suez Tractebel  Pension Fund of Bahrain,549300U0WBRM3DAWOC94
WRI1023712,International Power PLC  Sumitomo Corporation  Suez Tractebel,549300URVIMVNUT7QT37
WRI1029202,Aggreko,2138003R7TGCSVF27H47
WRI1029226,Summit Corporation Limited,2138002P8AVRKGWKGF04
WRI1029232,Summit Corporation Limited,2138002P8AVRKGWKGF04
WRI1029234,Summit Corporation Limited,2138002P8AVRKGWKGF04
WRI1029236,Summit Corporation Limited,2138002P8AVRKGWKGF04
WRI1029253,Summit Corporation Limited,2138002P8AVRKGWKGF04
WRI1029254,Summit Corporation Limited,2138002P8AVRKGWKGF04
WRI1029257,Summit Corporation Limited,2138002P8AVRKGWKGF04
WRI1029258,Summit Corporation Limited,2138002P8AVRKGWKGF04
WRI1029255,Summit Corporation Limited,2138002P8AVRKGWKGF04
WRI1029256,Summit Corporation Limited,2138002P8AVRKGWKGF04
WRI1029265,Summit Corporation Limited,2138002P8AVRKGWKGF04
WRI1023017,Botswana Power Corporation,254900WMSCP2BQZZ9P06
CHL0001009,COLBUN S.A.,5493003VQJLE2QB8IF36
WRI1075859,Vidachim,4851008V1L3GPP7Y1198
WRI1075858,AES,2NUNNB7D43COUIRE5295
WRI1008042,Deven AD,549300HRG4HMLNISSH29
CAN0007600,Kerwood Wind  LP,549300JXY6UOGBF5FL72
CAN0007613,Ge Energy Financial (90%) / Fiera Axium Infrastructure (10%),549300GU1M5DNJEQ1W35
CAN0007614,Capstone Infrastructure Corp,549300C5UPRD4YQZVB29
CAN0007615,Enbridge,98TPTUM4IVMFCZBCUR27
CAN0007616,Brookfield Renewable Power Inc,549300YZR6BDBEJQB513
CAN0007618,Nova Scotia Power Inc,5XLQXOZXQGDQ492ZD098
CAN0007620,TransAlta,GJZNVO2UY6DNFNIYH321
CAN0002098,Sp Armow Wind Ontario LP,5493000Z943LZ7QDIN88
CAN0007625,EDF Energies Nouvelles,5299006933KAS4QKDR16
CAN0007627,Arthur Wind Farm Ltd Partnership,529900GFZAQKK6ZX2I09
CAN0002100,Ontario Power Generation Inc,YDHER8SKF7V7YW8KZB55
CAN0002101,Brookfield Renewable Power Inc,549300YZR6BDBEJQB513
CAN0002023,Emera Energy,549300PRWV6PC6Y7TL30
CAN0002106,Hydro-Québec,6THEVG93PYJH84S4D167
CAN0002107,Hydro-Québec,6THEVG93PYJH84S4D167
CAN0007661,Algonquin Power,549300U14HGDC7PUZF92
CAN0007662,Sune Demorestville LP,54930012935GV8EBUS97
CAN0007664,Ge Energy Financial (90%) / Fiera Axium Infrastructure (10%),549300GU1M5DNJEQ1W35
CAN0002109,Hydro-Québec,6THEVG93PYJH84S4D167
CAN0002110,Hydro-Québec,6THEVG93PYJH84S4D167
CAN0007672,Vale Canada Limited/Vale Canada Limi,PRAQ4VOSFIK7OQ8Z2512
CAN0007683,TransAlta,GJZNVO2UY6DNFNIYH321
CAN0007684,Bluearth Renewables Inc,5493001LCP08VYRMSS63
CAN0007686,Varna Wind  LP,54930017I68E7AIENV36
CAN0007689,Bornish Wind  LP,54930002DNDQ9HNVS809
CAN0002027,Saskatchewan Power Corp,549300EO1JU9WGN37J83
CAN0007693,Bracebridge Generation Limited,549300SOVXJ1FQJSMM30
CAN0002029,Shell Energy North America (Canada) Inc,43Y7WACCQ8YM30PD3683
CAN0002118,Hydro-Québec,6THEVG93PYJH84S4D167
CAN0007704,TransCanada Energy Ltd,5493006YG7CTPEZTDU04
CAN0007705,TransCanada Energy Ltd,5493006YG7CTPEZTDU04
