gppd_id,name,dukes_name,repd_name,capacity,fuel,repd_id,geo_id,carma_id,repd_id2,owner,year_of_data,source,url,latitude,longitude,geolocation_source
GBR0001359,Manston Solar Farm extension (Westwood),,Manston Solar Farm extension (Westwood),9.2,Solar,1359,,,,Sunsave 16 Ltd/ Vogt Solar,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,51.3519,1.3745,UK Renewable Energy Planning Database
GBR0001428,Kellygreen Farm,,Kellygreen Farm,4.0,Solar,1428,,,,INRG Solar,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,50.5629,-4.7479,UK Renewable Energy Planning Database
GBR0001429,Grove Farm (solar),,Grove Farm (solar),3.5,Solar,1429,,,,juwi Renewable Energies,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,51.0766,-3.2622,UK Renewable Energy Planning Database
GBR0001350,Bombardier Factory,,Bombardier Factory,3.8,Solar,1350,,,,Bombardier Aerospace,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,54.6688,-5.9426,UK Renewable Energy Planning Database
GBR0001423,Luson Farm,,Luson Farm,1.9,Solar,1423,,,,Lightsource Renewable Energy,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,50.3617,-3.9413,UK Renewable Energy Planning Database
GBR0001352,STRETE FARM SOLAR FARM,,STRETE FARM SOLAR FARM,4.8,Solar,1352,,,,Ms Power Projects Ltd,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,50.7459,-3.3587,UK Renewable Energy Planning Database
GBR0001353,Tregassow Farm - Solar Modules,,Tregassow Farm - Solar Modules,6.0,Solar,1353,,,,Mr Larry Mark,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,50.3069,-5.0152,UK Renewable Energy Planning Database
GBR0001355,Higher Hatherleigh Solar Farm extension,,Higher Hatherleigh Solar Farm extension,1.5,Solar,1355,,,,Mr J Pertwee,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,51.0438,-2.4107,UK Renewable Energy Planning Database
GBR0001356,Pont Andrew,Pont Andrew,Pont Andrew Solar Farm,1.5443,Solar,1356,,,,Lightsource Renewable Energy,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,51.7753,-4.1376,UK Renewable Energy Planning Database
GBR0006442,Dartmoor Bio Power,,Dartmoor Bio Power,3.9,Biomass,6442,,,,Dartmoor Bio Power 1,2018,UK Renewable Energy Planning Database,https://www.gov.uk/government/collections/renewable-energy-planning-data,50.4514,-4.1128,UK Renewable Energy Planning Database
