NOTE: The Global Power Plant Database is currently in draft status and not yet published. Please do not reference or cite the data as basis for research or publications until the data is officially published.
name,pw_idnr,capacity_mw,year_of_capacity_data,country,owner,source,url,latitude,longitude,geolocation_source,commissioning_year,fuel1,fuel2,fuel3,fuel4,generation_gwh_2015,generation_gwh_2016,estimated_generation_gwh
ABU DHABI CENTRAL HOSP,CARMA0000152,,,ARE,,CARMA,http://carma.org/,24.4667,54.3667,CARMA,,,,,,,,
AL AIN,CARMA0000674,,,ARE,,CARMA,http://carma.org/,24.1917,55.7606,CARMA,,,,,,,,
AL HAMRA,CARMA0059384,,,ARE,,CARMA,http://carma.org/,25.7895,55.9432,CARMA,,,,,,,,
AL SILA,CARMA0000683,,,ARE,,CARMA,http://carma.org/,24.2491,55.7458,CARMA,,,,,,,,
AL WAGAN,CARMA0000692,,,ARE,,CARMA,http://carma.org/,24.4323,54.4235,CARMA,,,,,,,,
AL-HAMRIYAH,CARMA0016756,,,ARE,,CARMA,http://carma.org/,25.4782,55.5338,CARMA,,,,,,,,
AL-HAMRIYAH REFINERY,CARMA0000709,,,ARE,,CARMA,http://carma.org/,25.4782,55.5338,CARMA,,,,,,,,
ASAB ADNOC,CARMA0002213,,,ARE,,CARMA,http://carma.org/,23.3018,54.2217,CARMA,,,,,,,,
ASAB GAS PLANT,CARMA0057611,,,ARE,,CARMA,http://carma.org/,23.3018,54.2217,CARMA,,,,,,,,
AWEIDHA POLIMEX,CARMA0002673,,,ARE,,CARMA,http://carma.org/,24.4667,54.3667,CARMA,,,,,,,,
BANIYAS,CARMA0003186,,,ARE,,CARMA,http://carma.org/,23.6162,53.8431,CARMA,,,,,,,,
BU HASA GASCO,CARMA0006054,,,ARE,,CARMA,http://carma.org/,23.5539,53.3139,CARMA,,,,,,,,
DALMA,CARMA0010105,,,ARE,,CARMA,http://carma.org/,24.5110,52.3089,CARMA,,,,,,,,
DAS ISLAND,CARMA0010267,,,ARE,,CARMA,http://carma.org/,25.1500,52.8833,CARMA,,,,,,,,
DAS ISLAND LNG PLANT,CARMA0064845,,,ARE,,CARMA,http://carma.org/,25.1500,52.8833,CARMA,,,,,,,,
DHAID,CARMA0010703,,,ARE,,CARMA,http://carma.org/,24.1500,55.5500,CARMA,,,,,,,,
DIA ROYAL WING,CARMA0010750,,,ARE,,CARMA,http://carma.org/,25.2582,55.3047,CARMA,,,,,,,,
