name,gppd_idnr,latitude,longitude,commissioning_year,source,unit01_MW,unit01_year,unit02_MW,unit02_year,unit03_MW,unit03_year,unit04_MW,unit04_year,unit05_MW,unit05_year,unit06_MW,unit06_year,unit07_MW,unit07_year,unit08_MW,unit08_year,unit09_MW,unit09_year,unit10_MW,unit10_year,unit11_MW,unit11_year,unit12_MW,unit12_year,unit13_MW,unit13_year,unit14_MW,unit14_year,unit15_MW,unit15_year,unit16_MW,unit16_year,unit17_MW,unit17_year,unit18_MW,unit18_year,unit19_MW,unit19_year,unit20_MW,unit20_year
CLAROMECO,ARG0000011,-38.8292385,-60.0862294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COBRES,ARG0000380,-23.6511,-66.284016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLAN CONHUE,ARG0000381,-43.2426,-69.9302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLONIA CUSHAMEN,ARG0000382,-42.17666,-70.66263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLONIA LA PASTORIL,ARG0000175,-36.37333333,-66.22722222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMANDANCIA FRIAS,ARG0000383,-24.56361111,-62.2375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMANDANTE ANDRESITO,ARG0000221,-25.66693,-54.04193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMODORO RIVADAVIA,ARG0000072,-25.99127,-54.62779,1990,http://globalenergyobservatory.org/geoid/42276,17,1990,17,1990,22,1990,22,1990,28,1990,28,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMODORO RIVADAVIA - ANTONIO MORAN,ARG0000067,-45.84665075,-67.4963737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMODORO RIVADAVIA - PECORSA - CERRO ARENALES,ARG0000068,-45.8505765,-67.601822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMODORO RIVADAVIA (CERRO NEGRO),ARG0000069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMODORO RIVADAVIA (PLAYA SUD),ARG0000070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOPERATIVA VILLA GESELL,ARG0000012,-37.24647,-56.970727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORANZULI,ARG0000384,-23.015921,-66.366363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORRIENTES,ARG0000117,-27.47083333,-58.80416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSTA DE GUALJAINA,ARG0000385,-42.6646879,-70.4435498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSTA DEL CHUBUT,ARG0000386,-42.6016256,-70.4575737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSTANERA,ARG0000046,-34.62596,-58.339275,1983.9,"http://globalenergyobservatory.org/geoid/42242, http://globalenergyobservatory.org/geoid/42243, http://globalenergyobservatory.org/geoid/42244",123,1963,116,1963,112,1964,120,1964,350,1976,310,1984,264.4,1998,264.4,1998,322.2,1998,103.1,1964,218.5,1995,,,,,,,,,,,,,,,,,,
COYAGUAYMA,ARG0000387,-22.769146,-66.43994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRUZ DE PIEDRA,ARG0000197,-33.034937,-68.797149,1969,http://globalenergyobservatory.org/geoid/42320,17.94,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRUZ DEL EJE,ARG0000087,-30.763637,-64.753783,1943,https://es.wikipedia.org/wiki/Embalse_de_Cruz_del_Eje,0.85,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT 13 DE JULIO,ARG0000110,-32.16133,-64.153657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT ALEM,ARG0000217,-43.090684,-65.229803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT ALUMINE,ARG0000256,-38.87056,-70.57528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT AÑATUYA,ARG0000333,-28.443055556,-62.856944444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT AÑATUYA II,ARG0000334,-28.443055556,-62.856944444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT ARISTOBULO DEL VALLE,ARG0000229,-27.09222222,-54.8625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT ARRECIFES,ARG0000003,-34.04138889,-60.12972222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT BARILOCHE,ARG0000273,-41.14972222,-71.26333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT BELL VILLE,ARG0000113,-32.61027778,-62.68638889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT BRAGADO,ARG0000023,-35.13638889,-60.43111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT CAPITAN SARMIENTO,ARG0000028,-34.16361111,-59.76833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT CATAMARCA,ARG0000054,-28.47055556,-65.76472222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
