central,empresa,grupoempresario,tipodecentral,potenciainstaladamv,caracteristicas,localidad,departamento,provincia,fuente,geom,geojson
C.T. TUCUMAN,YPF ENERǴ ELECTR.EX PLUSPETG,YPF ENERGIA ELECTRICA S.A. EN ,TERMICA,447,<br>Maquina: TUCUTV01 | Tipo máquina: TURBO VAPOR | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 158.6 | Año de puesta en marcha: 2000 | Año de ingreso al MEM: 1998-10-01<br>Maquina: TUCUTG02 | Tipo máquina: TURBO GAS | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 144.2 | Año de puesta en marcha: 2007 | Año de ingreso al MEM: 1998-10-01<br>Maquina: TUCUTG01 | Tipo máquina: TURBO GAS | Tipo Generación: CICLO COMBINADO | Potencia Instalada (MW): 144.2 | Año de puesta en marcha: 1996 | Año de ingreso al MEM: 1998-02-01,SIN DATOS DE LOCALIDAD,CRUZ ALTA,TUCUMAN,CAMMESA,0101000020E61000005B971AA19F4A50C0C2A38D23D6FE3AC0,"{""type"":""Point"",""coordinates"":[-65.165993,-26.995455]}"
SARMIENTO SJ,HIDROTERMICA SAN JUAN,AES ALICURA SA,TERMICA,30,<br>Maquina: SARCTG21 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 10 | Año de puesta en marcha: 1971 | Año de ingreso al MEM: 1994-01-01<br>Maquina: SARCTG22 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 10 | Año de puesta en marcha: 1972 | Año de ingreso al MEM: 1994-01-01<br>Maquina: SARCTG23 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 10 | Año de puesta en marcha: 1973 | Año de ingreso al MEM: 1994-01-01,SIN DATOS DE LOCALIDAD,SIN DATOS DE DEPARTAMENTO,SIN DATOS DE PROVINCIA,CAMMESA,,
ULLUM,HIDROTERMICA SAN JUAN,AES ALICURA SA,HIDRAULICA,42,<br>Maquina: ULLUHI01 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 21 | Año de puesta en marcha: 1969 | Año de ingreso al MEM: 1994-01-01<br>Maquina: ULLUHI02 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 21 | Año de puesta en marcha: 1969 | Año de ingreso al MEM: 1994-01-01,SIN DATOS DE LOCALIDAD,ULLUM,SAN JUAN,CAMMESA,0101000020E6100000199293895B3051C0DEACC1FBAA743FC0,"{""type"":""Point"",""coordinates"":[-68.755587,-31.455734]}"
C.HOND 1 FOTOVO,C.FOTOV. CAСDA HONDA I-ENARSA,ENERGÍA ARGENTINA S.A.,SOLAR,2,<br>Maquina: HON1FV01 | Tipo máquina: FOTOVOLTAICO | Tipo Generación: FOTOVOLTAICA | Potencia Instalada (MW): 2 | Año de puesta en marcha: 2012 | Año de ingreso al MEM: 2012-06-01,SIN DATOS DE LOCALIDAD,SARMIENTO,SAN JUAN,CAMMESA,0101000020E6100000AE9AE7887C2251C0060DFD135CFC3FC0,"{""type"":""Point"",""coordinates"":[-68.538851,-31.98578]}"
CARACOLES,C.H.LOS CARACOLES - EPSE,ENERGIA PROV. S.E.,HIDRAULICA,121.4,<br>Maquina: CCOLHI01 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 60.7 | Año de puesta en marcha: 2009 | Año de ingreso al MEM: 2009-07-22<br>Maquina: CCOLHI02 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 60.7 | Año de puesta en marcha: 2009 | Año de ingreso al MEM: 2009-12-05,SIN DATOS DE LOCALIDAD,ZONDA,SAN JUAN,CAMMESA,0101000020E6100000C0EAC891CE3E51C0D7187442E8843FC0,"{""type"":""Point"",""coordinates"":[-68.981358,-31.519169]}"
S.JUAN I FOTOVO,PTA FOTOVOLTAICA S.JUAN I-EPSE,ENERGIA PROV. S.E.,SOLAR,1.2,<br>Maquina: SJUAFV01 | Tipo máquina: FOTOVOLTAICO | Tipo Generación: FOTOVOLTAICA | Potencia Instalada (MW): 1.2 | Año de puesta en marcha: 2011 | Año de ingreso al MEM: 2011-05-13,SIN DATOS DE LOCALIDAD,ULLUM,SAN JUAN,CAMMESA,0101000020E61000002046088F362B51C07AE40F069E633FC0,"{""type"":""Point"",""coordinates"":[-68.675205,-31.38913]}"
QUEBRADA ULLUM,QUEBRADA ULLUM - EPSE,ENERGIA PROV. S.E.,HIDRAULICA,45,<br>Maquina: QULLHI01 | Tipo máquina: TURB HIDRAULICA | Tipo Generación: HIDRÁULICA | Potencia Instalada (MW): 45 | Año de puesta en marcha: 1969 | Año de ingreso al MEM: 1994-01-01,SIN DATOS DE LOCALIDAD,ULLUM,SAN JUAN,CAMMESA,0101000020E61000000A3197546D2951C07FF964C570793FC0,"{""type"":""Point"",""coordinates"":[-68.647298,-31.474377]}"
CHIMBE 1 FOTOVO,C.FOTOV. CHIMBERAS 1-ENARSA,ENERGÍA ARGENTINA S.A.,SOLAR,2,<br>Maquina: CHI1FV01 | Tipo máquina: FOTOVOLTAICO | Tipo Generación: FOTOVOLTAICA | Potencia Instalada (MW): 2 | Año de puesta en marcha: 2013 | Año de ingreso al MEM: 2013-03-06,SIN DATOS DE LOCALIDAD,SARMIENTO,SAN JUAN,CAMMESA,0101000020E6100000F1113125922251C08F899466F3FC3FC0,"{""type"":""Point"",""coordinates"":[-68.54017,-31.988089]}"
PICO TRUNCADO 1,C.T. PATAGONICAS SA,C. T. PATAGONICAS SA,TERMICA,45,<br>Maquina: PTR1TG25 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 15 | Año de puesta en marcha: 1972 | Año de ingreso al MEM: 1994-01-01<br>Maquina: PTR1TG23 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 15 | Año de puesta en marcha: 1973 | Año de ingreso al MEM: 1994-01-01<br>Maquina: PTR1TG24 | Tipo máquina: TURBO GAS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 15 | Año de puesta en marcha: 1976 | Año de ingreso al MEM: 1994-01-01,SIN DATOS DE LOCALIDAD,DESEADO,SANTA CRUZ,CAMMESA,0101000020E6100000A5A14621C9FC50C0815EB873616447C0,"{""type"":""Point"",""coordinates"":[-67.949776,-46.784224]}"
PICO TRUNCADO - JORGE ROMANUTTI,MUNICIPAL,SIN DATOS DE GRUPO EMPRESARIO,EOLICA,2.4,<br>Maquina: AEROGENERADOR  N° 1-ENERCON - E-40 600 N° 44700 | Tipo Generación: EÓLICA | Potencia Instalada (MW): 0.6 | Fecha de puesta en servicio: 2001-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: AEROGENERADOR  N° 2-ENERCON - E-40 600 N° 44701 | Tipo Generación: EÓLICA | Potencia Instalada (MW): 0.6 | Fecha de puesta en servicio: 2001-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: AEROGENERADOR  N° 3-ENERCON - E-40 600 N° 441877 | Tipo Generación: EÓLICA | Potencia Instalada (MW): 0.6 | Fecha de puesta en servicio: 2005-08-09 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: AEROGENERADOR  N°4-ENERCON - E-40 600 N° 441878 | Tipo Generación: EÓLICA | Potencia Instalada (MW): 0.6 | Fecha de puesta en servicio: 2005-08-09 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,DESEADO,SANTA CRUZ,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000E36CDF48C5FE50C093D453F53C6747C0,"{""type"":""Point"",""coordinates"":[-67.9807913,-46.8065478]}"
BAJO  CARACOLES,SPSE,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.156,<br>Maquina: 129 - CATERPILLAR OLYMPIAN GEP77 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.056 | Fecha de puesta en servicio: 2000-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 107 - FIAT IVECO | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.1 | Fecha de puesta en servicio: 2007-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,RIO CHICO,SANTA CRUZ,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000713B342C46BB51C0BE89213999B847C0,"{""type"":""Point"",""coordinates"":[-70.926158,-47.442176]}"
EL CALAFATE,SPSE,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,12.86,<br>Maquina: 403 - CATERPILLAR 3512 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.975 | Fecha de puesta en servicio: 2007-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 402 - CATERPILLAR 3512 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.975 | Fecha de puesta en servicio: 2007-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 405 - CATERPILLAR 3512 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.975 | Fecha de puesta en servicio: 2007-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 401 - CATERPILLAR 3512 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.975 | Fecha de puesta en servicio: 2007-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 409 - CATERPILLAR 3512 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.975 | Fecha de puesta en servicio: 2007-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 411 - CATERPILLAR 3512 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.975 | Fecha de puesta en servicio: 2007-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 410 - CATERPILLAR 3512 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.975 | Fecha de puesta en servicio: 2007-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 412 - CATERPILLAR 3512 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.025 | Fecha de puesta en servicio: 2007-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 413 - CATERPILLAR 3512 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.11 | Fecha de puesta en servicio: 2007-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 406 - CATERPILLAR 3512 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.975 | Fecha de puesta en servicio: 2007-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 404 - CATERPILLAR 3512 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.975 | Fecha de puesta en servicio: 2007-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 407 - CATERPILLAR 3512 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.975 | Fecha de puesta en servicio: 2007-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 408 - CATERPILLAR 3512 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.975 | Fecha de puesta en servicio: 2007-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,LAGO ARGENTINO,SANTA CRUZ,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000091B9E5E291152C0B64AB0389C2D49C0,"{""type"":""Point"",""coordinates"":[-72.26815,-50.35633]}"
EL CHALTEN,SPSE,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,2.056,<br>Maquina: 138 - SDMO SX650 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.528 | Fecha de puesta en servicio: 2007-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 159 - CATERPILLAR 3512  | Tipo Generación: DIESEL | Potencia Instalada (MW): 1 | Fecha de puesta en servicio: 2007-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 137 - SDMO SX650 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.528 | Fecha de puesta en servicio: 2007-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,LAGO ARGENTINO,SANTA CRUZ,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E610000036E84B6F7F3852C002B859BC58AA48C0,"{""type"":""Point"",""coordinates"":[-72.882778,-49.330833]}"
FUENTES DEL COYLE,SPSE,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.18,<br>Maquina: 117 - CATERPILLAR | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.09 | Fecha de puesta en servicio: 2007-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 116 - CATERPILLAR | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.09 | Fecha de puesta en servicio: 2010-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,GÜER AIKE,SANTA CRUZ,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000F99E91088DFB51C00AA1832EE19049C0,"{""type"":""Point"",""coordinates"":[-71.930483,-51.131872]}"
GOBERNADOR GREGORES,SPSE,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,3.288,<br>Maquina: 136 - GUASCOR SF480 TAG | Tipo Generación: DIESEL | Potencia Instalada (MW): SIN DATOS DE POTENCIA | Fecha de puesta en servicio: 2003-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 142 - CATERPILLAR 3512 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.92 | Fecha de puesta en servicio: 2007-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 143 - CATERPILLAR 3512 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.088 | Fecha de puesta en servicio: 2010-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 144 - CATERPILLAR 3516 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.28 | Fecha de puesta en servicio: 2010-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,RIO CHICO,SANTA CRUZ,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E610000028806264C98F51C0C5AA4198DB5F48C0,"{""type"":""Point"",""coordinates"":[-70.246667,-48.748889]}"
JARAMILLO,SPSE,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,1.02,<br>Maquina: SIN DATOS DE MAQUINA | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.34 | Fecha de puesta en servicio: 2009-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: SIN DATOS DE MAQUINA | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.34 | Fecha de puesta en servicio: 2009-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: SIN DATOS DE MAQUINA | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.34 | Fecha de puesta en servicio: 2009-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,DESEADO,SANTA CRUZ,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E61000006EE00ED429C950C05B238271709747C0,"{""type"":""Point"",""coordinates"":[-67.143178,-47.183119]}"
LAGO POSADAS,SPSE,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,0.23,<br>Maquina: 131 - CATERPILLAR 3306 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.115 | Fecha de puesta en servicio: 2007-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 132 - CATERPILLAR 3306 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.115 | Fecha de puesta en servicio: 2010-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,RIO CHICO,SANTA CRUZ,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E61000006ABE4A3E76EF51C0AF795567B5C847C0,"{""type"":""Point"",""coordinates"":[-71.741592,-47.568036]}"
LOS ANTIGUOS,SPSE,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,6.612,<br>Maquina: 152 - CUMMINS C2000 D5 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.2 | Fecha de puesta en servicio: 2007-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 143 - CATERPILLAR 3512 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.088 | Fecha de puesta en servicio: 2009-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 144 - CATERPILLAR 3516 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.28 | Fecha de puesta en servicio: 2009-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 140 - CUMMINS | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.522 | Fecha de puesta en servicio: 2010-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 141 - CUMMINS | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.522 | Fecha de puesta en servicio: 2010-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,LAGO BUENOS AIRES,SANTA CRUZ,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000DD26DC2BF3E751C0670E492D944647C0,"{""type"":""Point"",""coordinates"":[-71.624217,-46.551397]}"
PERITO MORENO,SPSE,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,3.65,<br>Maquina: 150 - CUMMINS C2000 D5 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.2 | Fecha de puesta en servicio: 2007-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 151 - CUMMINS C2000 D5 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.2 | Fecha de puesta en servicio: 2007-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 145 - CUMMINS | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.25 | Fecha de puesta en servicio: 2009-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,LAGO BUENOS AIRES,SANTA CRUZ,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E61000000795B88E71BB51C0081F4AB4E44B47C0,"{""type"":""Point"",""coordinates"":[-70.928806,-46.592917]}"
PUERTO SAN JULIAN,SPSE,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,5.797,<br>Maquina: 134 - GUASCOR SFGLD-560 | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.985 | Fecha de puesta en servicio: 2003-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 156 - CUMMINS QSV-916 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.604 | Fecha de puesta en servicio: 2007-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 154 - CUMMINS QSV-916 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.604 | Fecha de puesta en servicio: 2007-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 155 - CUMMINS QSV-916 | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.604 | Fecha de puesta en servicio: 2007-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,MAGALLANES,SANTA CRUZ,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E610000051F52B9D0FEF50C006F4C29D0BA748C0,"{""type"":""Point"",""coordinates"":[-67.735328,-49.305042]}"
PUERTO SANTA CRUZ,SPSE,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,6.416,<br>Maquina: 351 - CATERPILLAR | Tipo Generación: DIESEL | Potencia Instalada (MW): SIN DATOS DE POTENCIA | Fecha de puesta en servicio: 2003-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 353 - CATERPILLAR | Tipo Generación: DIESEL | Potencia Instalada (MW): SIN DATOS DE POTENCIA | Fecha de puesta en servicio: 2003-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 161 - CUMINS 1540  | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.604 | Fecha de puesta en servicio: 2009-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 163 - CUMINS 1540  | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.604 | Fecha de puesta en servicio: 2009-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 162 - CUMINS 1540  | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.604 | Fecha de puesta en servicio: 2009-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 160 - CUMINS 1540  | Tipo Generación: DIESEL | Potencia Instalada (MW): 1.604 | Fecha de puesta en servicio: 2009-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 109 - FG WILSON 9-1250 | Tipo Generación: DIESEL | Potencia Instalada (MW): SIN DATOS DE POTENCIA | Fecha de puesta en servicio: SIN DATOS DE FECHA DE PUESTA EN SERVICIO | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,CORPEN AIKE,SANTA CRUZ,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000A1F65B3B512251C04BE7C3B3040349C0,"{""type"":""Point"",""coordinates"":[-68.536208,-50.023581]}"
PUNTA BANDERA,SPSE,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,1.16,<br>Maquina: 414 - CATERPILLAR  | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.18 | Fecha de puesta en servicio: 2007-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 416 - CATERPILLAR | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.18 | Fecha de puesta en servicio: 2007-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 415 - CUMMINS | Tipo Generación: DIESEL | Potencia Instalada (MW): 0.8 | Fecha de puesta en servicio: 2007-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,LAGO ARGENTINO,SANTA CRUZ,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E61000002DB29DEFA73252C0999D45EF542849C0,"{""type"":""Point"",""coordinates"":[-72.7915,-50.315092]}"
RIO GALLEGOS I (RIO CHICO),SPSE,SIN DATOS DE GRUPO EMPRESARIO,TERMICA,103.31,<br>Maquina: 123 - AEG  KANIS | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 15 | Fecha de puesta en servicio: 2000-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 147 - GENERAL ELECTRIC GE 10/1 | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 11.27 | Fecha de puesta en servicio: 2005-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 148 - GENERAL ELECTRIC GE 10/1 | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 11.27 | Fecha de puesta en servicio: 2005-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 149 - GENERAL ELECTRIC GE 10/1  | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 11.27 | Fecha de puesta en servicio: 2005-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 158 - ALSTHOM GENERAL ELECTRIC  | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 17.5 | Fecha de puesta en servicio: 2008-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 157 - ALSTHOM GENERAL ELECTRIC  | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 17.5 | Fecha de puesta en servicio: 2008-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA<br>Maquina: 175 - G. ELECTRIC  | Tipo Generación: TURBO GAS | Potencia Instalada (MW): 19.5 | Fecha de puesta en servicio: 2010-01-01 | Tarea: SIN DATOS DE TAREA | Fecha de tarea: SIN DATOS DE FECHA DE TAREA,SIN DATOS DE LOCALIDAD,GÜER AIKE,SANTA CRUZ,DIRECCION NACIONAL DE PROSPECTIVA,0101000020E6100000F3734353765851C09415C3D501D449C0,"{""type"":""Point"",""coordinates"":[-69.382222,-51.656306]}"
